Nombre,Link,Descripcion
Solita Camino,https://pluto.tv/latam/on-demand/series/5faef62bfd17cc001a0121b8,"La historia de Manu, una joven de 14 años de clase alta que guarda el doloroso secreto de ser abusada sexualmente por su padrastro durante toda su infancia. Manu se rebela y comienza un proceso que la llevará a salir adelante."
Ojos Sin Culpa,https://pluto.tv/latam/on-demand/series/62827ed9c51411001348b8e4,"Edu no despierta sospechas. Se vale de su belleza y simpatía para ocultar su verdadera cara de asesino serial. Los policías Díaz y Vera buscan al asesino, que está más cerca de lo que imaginan."
The Cariocas (Las Cariocas),https://pluto.tv/latam/on-demand/series/625ec3378f17ad0013f7d53c,"Son de Río de Janeiro, pero cada uno con su estilo."
Lo Que Callamos Las Mujeres,https://pluto.tv/latam/on-demand/series/60d4ad83fad1f80013b37b06,"Fuerte temática, ya que las mujeres no callan ni los problemas más pequeños. Aunque siempre se muestra la realidad, las imágenes y el lenguaje, se escogen con cuidado para alcanzar una audiencia más grande."
"Laura, una vida extraordinaria",https://pluto.tv/latam/on-demand/series/60708e94b58b22001a48d1d8,"Hace 150 años, cuando la mujer era abandonada por la historia, nació Laura, una mujer diferente y especial que haría la diferencia."
La Cacica,https://pluto.tv/latam/on-demand/series/5f1721764b8f2200131bf1fc,Consuelo Araujo es una mujer que llega como huracán a revolucionar los vientos serenos de su pueblo. Ella se encargará de que la música popular entre a lugares impensados y atraviese todas las fronteras y continentes.
Lucho en Familia,https://pluto.tv/latam/on-demand/series/5e45af0d15db0cd28ae4fd23,"Lucho Corona es un padre de familia ejemplar y astro retirado de la lucha libre profesional. Hace diez años, Lucho lesionó accidentalmente en el ring a Ramiro, su amigo incondicional."
Escándalos,https://pluto.tv/latam/on-demand/series/5e4abd1d9e4307efbe0b8906,"Serie de unitarios que narra en ficción,famosos escándalos internacionales de diferentes géneros."
Infieles,https://pluto.tv/latam/on-demand/series/5f8ee06b72d139001a1a5238,"Las vidas de cinco jóvenes mujeres, amigas íntimas, cuyas vidas profesionales, amistades, relaciones amorosas, pasiones y sentido del humor constituyen una serie que evoluciona alrededor de la confianza y fidelidad con uno mismo."
Vacaciones en Grecia,https://pluto.tv/latam/on-demand/series/608c2c06e63e660013130855,"Los Berkinson sólo conocían el éxito y la fortuna. Su vida brillaba como el oro hasta que una trampa los dejó sin un sol en los bolsillos. Sin carros y sin casa, sufren su nueva realidad: son pobres y no tienen ni siquiera donde vivir."
Dios sabe cómo hace sus cosas,https://pluto.tv/latam/on-demand/series/5f11d7f0b5e9df001321120e,"Dios Sabe cómo hace sus cosas cuenta una serie de historias unitarias que le suceden a la gente común, en las cuales interviene un acto de fe en quienes acuden a los diferentes santos, para que así, les ayuden a solucionar sus problemas."
Tómame o Déjame,https://pluto.tv/latam/on-demand/series/5e46e382033f250de1476874,"Lara es la sexóloga mas reconocida del país, pero su vida amorosa es un desastre. Todo cambia cuando conoce a Adan, un especialista en sexo tántrico que le mostrara que en el sexo no todo es ciencia."
Prueba de FE,https://pluto.tv/latam/on-demand/series/5e46e3bc033f250de14772ba,En cada capítulo de esta serie se narra uno de los 3 milagros que aprueba el Vaticano para la Canonización de un Santo.
El Diario Secreto De Una Profesional,https://pluto.tv/latam/on-demand/series/5e1e5f3a2e5775fc28afb83a,Una nueva versión del programa de televisión del 2007 “Secret Diary of a Call-girl.” Basado en el diario personal popular de la trabajadora sexual solo conocida como Belle de Jour.
Solamente Milagros,https://pluto.tv/latam/on-demand/series/60589aaef3fd5d001b7f69e2,"Cuenta historias inspiradas en hechos reales y cotidianos de nuestra sociedad peruana, hechos que nos han afectado y aun nos afectan, todos ellos tocados por un evento extraordinario: UN MILAGRO."
El Asesino de la Baraja,https://pluto.tv/latam/on-demand/series/65cd0123b8685b0013cc5560,Lo que parecía un crimen aislado terminó siendo una complicada investigación para dar caza a un cruel asesino en serie.
Círculo Rojo,https://pluto.tv/latam/on-demand/series/617beced5eb49a001ae13df0,"La muerte de Clara, una famosa diseñadora, desencadenará la venganza de dos mujeres contra las personas que destrozaron su vida en el pasado."
Cazadores de hombres,https://pluto.tv/latam/on-demand/series/617bed12693843001af7bbe2,"Narra el trabajo de una unidad policial de élite especializada en la localización y captura de fugitivos especialmente peligrosos y, en ocasiones, reclamados internacionalmente."
Con el culo al aire,https://pluto.tv/latam/on-demand/series/60b6382e5cc5f2001a31236f,"Tino es el líder de un caótico camping. Vive acampando, va con su furgoneta de feria en feria y alardea de llevar un estilo de vida alternativo, al margen de la legalidad y de sus vecinos."
Fenómenos,https://pluto.tv/latam/on-demand/series/617c3fe15eb49a001ae159dc,Comedia ambientada en el día a día de un programa de radio sobre fenómenos paranormales.
Vive Cantando,https://pluto.tv/latam/on-demand/series/60b7e3d949495300139052e8,"Trini es una joven cantante de orquesta que lleva años recorriendo España. Se ve obligada a volver a su barrio de toda la vida, lleno de gente entrañable y sencilla que lucha por salir adelante."
Manolo y Benito Corporaision,https://pluto.tv/latam/on-demand/series/6182889c52ed7b001b61a3d8,"Manolo y Benito trabajan en su empresa de reformas y son inseparables. La mujer de Manolo, le dejó cinco años atrás. A Benito no le gustan los cambios y toda su vida sigue igual. Todo cambia cuando su edificio se convierte en un Hotel de 4 estrellas."
Lobos,https://pluto.tv/latam/on-demand/series/618151401be642001a2d72a5,"Narra las peripecias que vive Manuel Lobo, un abogado maduro, viudo y padre de tres hijas, para evitar que la más pequeña acabe en la cárcel por tráfico de drogas."
Un lugar en el mundo,https://pluto.tv/latam/on-demand/series/618288ba436116001a0c0329,"Julio es un neurólogo de prestigio que, tras la muerte de su hijo, decide dejarlo todo para instalarse en un pequeño pueblo y abrir un hotel rural."
Quart,https://pluto.tv/latam/on-demand/series/61858b6e1be642001a2f9211,"Quart, el hombre de Roma, narra la historia de Lorenzo Quart, un sacerdote al que el Vaticano envía a Sevilla después de que el Papa recibiera una enigmática denuncia de un pirata informático."
Karabudjan,https://pluto.tv/latam/on-demand/series/617fe3f3c3995d001ab1752c,"Diego Salgado, es un joven ejecutivo de una importante empresa de publicidad. Está acostumbrado a conseguir todo lo que se propone. Esconde un terrible secreto pero el pasado siempre vuelve y Diego se tendrá que enfrentar a él."
Los quien,https://pluto.tv/latam/on-demand/series/6182887e54ba66001a69c9c5,"Sitcom que narra las peripecias del matrimonio Peña Zunzunegui, una pareja que a comienzos de los años ochenta protagoniza el primer divorcio en la España democrática."
Impares,https://pluto.tv/latam/on-demand/series/617fe300693843001af8322a,Serie de comedia de pequeños sketches que muestra a los diversos clientes de una agencia de búsqueda de pareja a través de Internet.
I'm not a Robot,https://pluto.tv/latam/on-demand/series/659454cbb2cbaf00135ad2d0,"Kim Min-gyu, máximo accionista de la mayor empresa financiera del país, no puede salir con ninguna chica porque es alérgico al contacto humano. Un día, un robot llamado ""Aji 3"" llega a su casa. Pero él no tiene idea de que Aji 3 no es un robot."
Healer,https://pluto.tv/latam/on-demand/series/623b294825269a0013a925f0,"Un popular reportero, una periodista que trabaja para un diario de segunda categoría y un misterioso mensajero, se embarcan en una insólita travesía para descubrir qué sucedió años atrás mientras un grupo de amigos operaban una radio emisora pirata."
El peso del amor,https://pluto.tv/latam/on-demand/series/623df67e7936240013148790,"Cuando su novio de quince años termina con ella por subir de peso, Kang Joo-Eun recibe ayuda de Kim Young-Ho, un entrenador personal increíblemente perfecto, para ponerse en forma y cambiar su vida."
"Weightlifting Fairy, Kim Bok-joo",https://pluto.tv/latam/on-demand/series/65a6d0c8478df600132322d5,"Bok-joo, una levantadora de pesas, se enfrenta a un difícil dilema al enamorarse por primera vez. Equilibrar su pasión por la halterofilia con su recién descubierto romance es una dura prueba, especialmente con el sueño de una medalla de oro en juego."
¿Tú también eres humano?,https://pluto.tv/latam/on-demand/series/61aa62c791347f0013334cdc,"Un mundo que te hace querer preguntar ""¿Tú también humano?"", el proyecto público de suplantación humano de Kang Sobong, la apasionade guardespaldas y Nam-shin III, un robot humano de IA que es más humano que los humanos reales."
Sueña Sin Limites,https://pluto.tv/latam/on-demand/series/64d10dfc85e5ff00131812c9,"¡Una historia de superestrellas que nos gustaría ver próximamente! Los chicos de diversos asisten a la escuela de Kirin, una escuela de arte de élite, aspirando a convertirse en estrellas globales, cultivando sus talentos y superando los desafíos."
El Hombre Inocente,https://pluto.tv/latam/on-demand/series/64d394e0b97a1e0013d2e68a,"Maru se dedicó toda su viad a Jae-hee, la mujer que amaba para su vida, pero es traicionado por ella. Maru encuenta a Eun-gi, la heredera del gran empresa y decide a vengarse de Jae-hee usando Eun-gi, que se enamora de Maru en un instante."
Shopping King Louie,https://pluto.tv/latam/on-demand/series/65ae93dfa40ff7001370015e,"Shopaholic Louis sigue a Louis, un rico adicto a las compras que pierde la memoria y se queda sin hogar. Su inesperado romance con Koh Bok-shil, una humilde campesina, resalta la inestimable naturaleza del amor verdadero más allá de la riqueza material."
Coffee Prince,https://pluto.tv/latam/on-demand/series/65e756a0dfc40a00149cd865,"Coffee Prince es la historia de un grupo de jóvenes que se sienten atraídos por el negocio del café de especialidad, donde también encuentran el amor y una nueva esperanza."
Cinderella Man,https://pluto.tv/latam/on-demand/series/65cd010cb8685b0013cc4f06,"Este es un drama que muestra el cambio de vida de Oh Dae-san, propietario de una tienda de ropa en el mercado de Dongdaemun, que se convierte en doble del heredero de un conglomerado empresarial, inspirándose en el cuento del príncipe y el mendigo."
Princess Hours,https://pluto.tv/latam/on-demand/series/65c64a98ecf2e50013a16669,"Princess Hours es un drama ambientado en la Corea moderna, con una monarquía constitucional, que se centra en el romance entre un príncipe y una chica común. Explora los retos a los que se enfrentan en su matrimonio arreglado y cómo acaban enamorándose."
You Are My Destiny,https://pluto.tv/latam/on-demand/series/65c4e1465884b4001320960a,"Este drama es la historia de una chica normal, Mi-young, que accidentalmente pasa una noche con un hombre rico desconocido e incluso queda embarazada."
Queen of Reversal,https://pluto.tv/latam/on-demand/series/65c11f6504045f001349bdba,"La búsqueda de la felicidad conyugal de un ama de casa da giros inesperados en esta comedia romántica. A medida que se enfrenta a la realidad de la vida conyugal, llena de retos imprevistos, aprende que el amor no siempre sigue el guion."
The Empress Ki,https://pluto.tv/latam/on-demand/series/65ae8033ecf2e50013e49797,"En la dinastía Yuan, fundada por Genghis Khan, la emperatriz Ki era originaria del pequeño reino de Goryeo. Sung Nyang de Goryeo finge ser un muchacho para sobrevivir en la dinastía Yuan y se convierte en su reina."
A Pledge to God,https://pluto.tv/latam/on-demand/series/65ae74e0debc810013c73e97,La historia explora el choque entre los instintos maternales y las normas morales.
She Was Pretty,https://pluto.tv/latam/on-demand/series/65a96b585884b4001349b5cc,"Hye-jin, antaño privilegiada, trabaja a tiempo parcial y vive con una amiga. Cuando su amor de la infancia, Sung-joon, quiere verla, envía a su amiga en su lugar. Al conseguir un trabajo mejor, descubre que Sung-joon es su jefe y la trata mal."
Money Flower,https://pluto.tv/latam/on-demand/series/65a6d7e608d0ab00136dbf93,"Mientras Kang Pil Joo conspira para hacerse con el control de Cheong A Group, ilustra vívidamente la dinámica del poder, subrayando que es el dinero el que manda sobre la gente, y no al revés."
The Greatest Love,https://pluto.tv/latam/on-demand/series/65a6d7e108d0ab00136dbd96,"Una comedia romántica sobre una antigua cantante estrella llamada Koo Ae-jeong que se ve enredada en una relación con Dokgo Jin, la mayor celebridad del país."
Pasta,https://pluto.tv/latam/on-demand/series/65a6d7d708d0ab00136dbaf9,"Yoo-gyeong sueña con ser chef en Mamma Mia, pero es ayudante de cocina. Cuando los chefs Hyun-wook y Sae-young se unen, ella se convierte en la última mujer en pie. Yoo-gyeong, que al principio se siente inferior, empieza a sentir algo por Hyun-wook."
W - Two Worlds Apart,https://pluto.tv/latam/on-demand/series/65a6d7d008d0ab00136db883,"El cruce entre el mundo virtual de ""W"" y el mundo real crea todo tipo de situaciones inesperadas que desembocan en conflictos y peligros."
When a Man Falls in Loves,https://pluto.tv/latam/on-demand/series/65a6d398478df60013232c01,"El amor es un viaje polifacético, que ofrece calidez y superación, pero también conlleva celos e inseguridades. Incontrolable e imprevisible, moldea nuestro crecimiento y madurez."
Warm and Cozy,https://pluto.tv/latam/on-demand/series/659ed6ff954dcc0014ccfa0e,"Esta miniserie de televisión trata de dos personas que se recuperan de sus problemas de la vida para volver a vivir con calidez. Gun-woo sigue los pasos del Gran Gatsby, que estaba perdidamente enamorado de Daisy y lo sacrificó todo."
"My Secret, Terrius",https://pluto.tv/latam/on-demand/series/659ed148072664001361ac50,"Koh Ae-rin, ama de casa, se ve envuelta en el mundo de la inteligencia tras la muerte de su marido. Ae-rin se une a la investigación de Kim Bon sobre una gran conspiración, una unidad especial del Servicio Nacional de Inteligencia (NIS)."
Flames of Desire,https://pluto.tv/latam/on-demand/series/6596c520478df60013c8fc87,Los miembros de una familia rica solo se preocupan por las apariencias y apenas se interesan en los problemas que afronta el ciudadano promedio. Este drama quita esas capas para mostrar que también son humanos con defectos.
Angry Mom,https://pluto.tv/latam/on-demand/series/659570df478df60013bc6927,"La serie gira en torno a una madre soltera que intenta proteger a su hija y, de paso, hacer del mundo un lugar mejor en el que casi siempre prevalezcan la justicia y la razón."
Locky Romance,https://pluto.tv/latam/on-demand/series/659570d7478df60013bc672a,"Esta miniserie romántica, basada en un webtoon, explora la improbable historia de amor entre Bo-nee, una mujer supersticiosa que busca a un hombre del año del tigre, y un hombre dedicado a la ciencia y las matemáticas que nunca se interesó por el romance."
Marriage Contract,https://pluto.tv/latam/on-demand/series/659570d3478df60013bc662e,"Kang Hye-soo, madre soltera, tiene una hija de nueve años que criar, pero le diagnostican un tumor cerebral. Entonces, le ofrecen ser la esposa legal de su jefe Han Ji-hoon por tan solo tres meses."
"Kill Me, Heal Me",https://pluto.tv/latam/on-demand/series/659454c5b2cbaf00135ad158,"Aquí hay un hombre que vive en un mundo distópico. De pequeño sufrió traumas. Como le costaba superar esos traumas, creó otra personalidad para sobrellevar su dolor."
Happy Once Again,https://pluto.tv/latam/on-demand/series/659454c0b2cbaf00135ad04e,"La historia se desarrolla para un grupo de chicas de cuento de hadas de la primera generación, ahora bien entradas en sus treintas, y el nuevo capítulo comienza cuando se enredan en vientos inesperados del amor."
Los Productores,https://pluto.tv/latam/on-demand/series/64d394f1b97a1e0013d2ea3c,"Una variedad de historias que ocurren en una emisora de televisión, donde los tontos de mucha carrera que están armados con horas extras del turno de la noche y las fuerzas físicas hercúleas están luchando para vivir día a día."
A Todos los Chicos Que Me Amaban,https://pluto.tv/latam/on-demand/series/64d66b86a5aa6e0013a12dba,"No sólo en la pasada, sino también en el presente, es claro que todos los hombres sean iguales. Entonces, Hyeon-ju declaró la soltería. Pero un extraño se acerca a ella de repente. Además. el amigo a quien trata como su hermano, confiesa su amor por ella."
Amor Bajo la Luz de la Luna,https://pluto.tv/latam/on-demand/series/64d2408b334a8a001398cec1,"Lee Young, el príncipe heredero, se enamora de su eunuco político, pero sabe que no puede revelar su sentimiento. Mientras tanto, Raon, el objeto, tiene miedo de que se revele la verdad oculta. ¿Qué son? ¿Amigos o amantes? ¿No deberían haberse conocido?"
Luchando para abrirme paso,https://pluto.tv/latam/on-demand/series/61aa6254c323f20013e53ed1,"A pesar de un mundo cada vez más hostil, Ko Dongman y Choi Aera deciden no rendirse. No importa lo que otros hablen de ellos, juntos hacen su propio camino para vivir una vida feliz."
Hwarang: La Juventud Del Guerrero Poeta,https://pluto.tv/latam/on-demand/series/61aa62a2a6334f001307c0e7,"Un drama juvenil sobre la pasión y el amor de los Hwarangs que conquistaron Seorabeol, que es la capital de Silla hace 1.500 años."
El Hombre de la Princesa,https://pluto.tv/latam/on-demand/series/626aa218b55dbf0013515a20,"Seung-yoo es un hombre guapo y sabio que lleva una cualidad noble. La princesa Se-ryeong es una dama animada con personalidad audaz. Se enamoran, pero descubren que sus padres son enemigos jurados."
Los Misterios de Praga,https://pluto.tv/latam/on-demand/series/64651a58f2a541001b7d2df6,"Praga, década de 1920. El inspector Budik investiga una serie de asesinatos más atroces."
Las Muertes de Medusa,https://pluto.tv/latam/on-demand/series/64651d32a7ef77001a744d1d,"A raíz de una serie de asesinatos violentos, un equipo de investigación élite de homicidios descubre una poderosa organización criminal."
SAF3 Fuerza de Rescate,https://pluto.tv/latam/on-demand/series/6088287cb3f837001a1aa1e2,"Un equipo de rescate formado por expertos en salvamento en situaciones con aire, mar y fuego tratarán de resolver las llamadas más desafiantes de los ciudadanos, donde en muchas ocasiones sus vidas llegarán a pender de un hilo."
Into the Badlands,https://pluto.tv/latam/on-demand/series/65f47080ea323e0013229672,Into the Badlands es un drama de artes marciales posapocalíptico en un mundo sin armas y la lucha es un arte.
Justicia verdadera,https://pluto.tv/latam/on-demand/series/6081cf32732128001a1d0721,"Elijah Kane es un policía de Seattle que actúa como agente encubierto para buscar y perseguir a los delincuentes más peligrosos. Elijah Kane cuenta con el apoyo de su equipo, una élite de agentes que se encargarán de la lucha contra la delincuencia."
CSI: Miami,https://pluto.tv/latam/on-demand/series/63bc1f45a6bb3b001475e802,David Caruso interpreta a un policía de homicidios de la científica en este drama repleto de acción sobre crimen y castigo en el paraíso tropical de Florida.
Alarm for Cobra 11,https://pluto.tv/latam/on-demand/series/654a7418619680001aa33093,"Dos inspectores de policía y su equipo de una comisaría de Bonn-Koeln, en Alemania, luchan contra una amplia gama de delincuentes que encuentran en las principales carreteras del país."
MacGyver,https://pluto.tv/latam/on-demand/series/643fea281a5081001ad8a1d8,MacGyver (Richard Dean Anderson) es un héroe contemporáneo y un modelo a seguir que aplica su conocimiento científico a elementos ordinarios para crear para sí mismo y para otros un medio de escape de la muerte inminente.
Estación Berlin,https://pluto.tv/latam/on-demand/series/5e503441fe1a6f001a7aede5,"Un drama de espías sobre la CIA en el Berlín actual. Daniel Miller es un agente novato en una misión clandestina para descubrir el origen de una filtración que proporcionó información a un soplón, ya famoso, llamado ""Thomas Shaw""."
El Asalto,https://pluto.tv/latam/on-demand/series/63ce8bdbe8fb16001a923f0d,"Un robo a un banco entrelaza las vidas del director de la sucursal, un restaurador, una joven policía embarazada, un policía veterano, y una docena de personas. Vivirán varias horas en compañía de cuatro ladrones con perfiles muy diferentes."
Utopia,https://pluto.tv/latam/on-demand/series/5e0fc8a3d78344b4ec61a608,"Después de que un grupo de personas, que se encuentran en línea, descubren una extraña novela gráfica que parece tener respuestas misteriosas, se encuentran siendo rastreados por una organización despiadada conocida simplemente como 'The Network'."
Flood,https://pluto.tv/latam/on-demand/series/5fa45f396492fa001d0273c7,"Cuando una tormenta embravecida desata una marea colosal en la costa inglesa, el ingeniero marino Robert Morrison y su padre Leonard deben trabajar junto con Sam la ex esposa de Rob para salvar Londres antes de que las aguas abrumen a la ciudad."
Black Kamen Rider,https://pluto.tv/latam/on-demand/series/603e8b0cffe774001ad496e4,"Nacido durante un eclipse solar, Issamu Minami y su hermano adoptivo Nobuhiko Akizuki son secuestrados por la malvada secta Gorgom para ser transformados en Emperadores Seculares Gorgom."
El Fantástico Jaspion,https://pluto.tv/latam/on-demand/series/603fa6c64a69b8001a38fec5,"Jaspion es un huérfano creado en el universo por el profeta Edin. Cuando la profecía galáctica anuncia que el demonio Satan Goss tiene la intención de conquistar todos los planetas, recluta al niño para enfrentar la amenaza y proteger la paz."
Kamen Rider ZI-O,https://pluto.tv/latam/on-demand/series/603e8ba7ffe774001ad4a876,"Esta es la historia de un Kamen Rider que aspira a convertirse en rey. Quién luchará para salvar el pasado, el presente y el futuro, conociendo a varios Jinetes de la era Heisei a través del espacio-tiempo."
Z Nation,https://pluto.tv/latam/on-demand/series/66a269ea8dfe2a00133cff60,"En medio de un apocalipsis zombi, un equipo de héroes cotidianos debe transportar al único superviviente conocido del virus por todo el país hasta el último laboratorio viral en funcionamiento."
The Lost Room,https://pluto.tv/latam/on-demand/series/650b116e6930bb00136f67a5,"Un detective (Peter Krause) investiga la misteriosa habitación de un motel, que actúa como un portal a un universo alternativo."
Tornado,https://pluto.tv/latam/on-demand/series/60468c2c601b98001ac4a2e2,"Durante el verano más caluroso en años de Berlín, un tornado mortal amenaza con destrozar una ciudad para siempre."
Final days of planet earth,https://pluto.tv/latam/on-demand/series/5fb2f4de93fb64001a783c7f,Un arqueólogo y una entomóloga que investiga una trágica misión espacial descubren un complot alienígena para invadir la Tierra.
Andrómeda,https://pluto.tv/latam/on-demand/series/6113ff42975c210013c15376,El Capitán Dylan Hunt y toda la tripulación del Andromeda Ascendant se embarcan en una misión para poder reconstruir la Mancomunidad de Sistemas 300 años después de su caída. Creado por la leyenda de la ciencia ficción Gene Roddenberry.
Relic Hunter,https://pluto.tv/latam/on-demand/series/608ab1ec565bff0013119818,"Tia Carrere (""El Mundo de Wayne"") interpreta a Sídney Fox, una profesora universitaria y cinturón negro que recorre el mundo en busca de artefactos y antigüedades perdidos y robados, que se rumorea que existen."
Juda,https://pluto.tv/latam/on-demand/series/5fca7c5a1c1caa0013f7ab26,"Juda es un jugador que se gana la vida en el inframundo criminal. Tomando dinero prestado de la mafia francesa para un lugar en un juego de póquer de alto riesgo, gana a lo grande pero la suerte se le acaba cuando se topa con una vampiresa."
Supernova,https://pluto.tv/latam/on-demand/series/5faec47a9d991c001a9dd086,El ganador del Globo de Oro Peter Fonda protagoniza esta mini serie de ciencia ficción distópica. Un astrofísico determina que el sol está listo para explotar y que el final de la civilización es una posibilidad real.
Continuum,https://pluto.tv/latam/on-demand/series/5f43dc979dd795001ab4ad3f,Kiera Cameron es una policía del futuro atrapada en el actual Vancouver. Kiera debe sobrevivir en nuestro período de tiempo y evitar que los terroristas alteren la historia lo suficiente como para cambiar el curso del futuro.
Mutant X,https://pluto.tv/latam/on-demand/series/61165dd6cfc2d60014018736,"Un genetista fugitivo y cuatro de sus ""creaciones"" buscan a otros de su especie mientras intentan ir un paso por delante de un agente del gobierno moralmente ambiguo."
El Señor de las Bestias,https://pluto.tv/latam/on-demand/series/5f3be4ed0b2a6c001ab9235f,"Dar, el beastmaster y sus amigos luchan por mantener un equilibrio entre las necesidades, a menudo conflictivas, de humanos y animales.Estas aventuras se desarrollan en un mundo antiguo de gran belleza."
Shadows of Death,https://pluto.tv/latam/on-demand/series/64652430188649001a2b8f29,Un agente de policía acusado de asesinato debe demostrar su inocencia y encontrar al verdadero asesino.
NCIS,https://pluto.tv/latam/on-demand/series/64413b886113a5001afb0856,"NCIS (Servicio de Investigación Criminal Naval) es más que un drama de acción. Con generosas dosis de humor, se enfoca en la dinámica a veces compleja y siempre divertida de un equipo obligado a trabajar en conjunto en situaciones de alto estrés."
Intuición Criminal,https://pluto.tv/latam/on-demand/series/6407409ee44795001320871e,"Cuando la hija de un dignatario local es encontrada muerta en una mina, Angelika, una policía muy particular, quien confía más en su intuición que en las pruebas, se pone al frente del caso."
Los asesinatos de Midsomer,https://pluto.tv/latam/on-demand/series/63b6e56cd5762100130180e9,"Los villanos de Midsomer se enfrentan a un duro adversario como el detective Barnaby, quien junto a sus colegas se involucra para luchar contra el crimen y resolver asesinatos en las hermosas pero mortales aldeas de Midsomer."
The Case,https://pluto.tv/latam/on-demand/series/625dc070baa39e0013e2944b,Cada policía tiene un caso que los persigue y los golpea duro.
Ruleta Rusa,https://pluto.tv/latam/on-demand/series/612552ece4122100137c4376,La periodista Katharina Wagner regresa a San Petersburgo para mostrarle a su hijo la tumba de su padre. Pero el viaje se convierte en la peor pesadilla de una madre cuando Nikolai desaparece repentinamente sin dejar rastro en el metro de San Petersburgo.
Mal de Tierra,https://pluto.tv/latam/on-demand/series/6036642dd36089001adc9809,"Un pueblo misterio, una niña desaparecida, una mujer poderosa empeñada en desterrar a los campesinos de sus tierras y un grupo de cineastas dispuestos a retratar en un documental la realidad de lo que está pasando."
The Accident,https://pluto.tv/latam/on-demand/series/5fbd1347c8c57d00131b5a44,"El cuerpo de Rebecca Cauvy se encuentra en la rampa de una autopista en la tranquila localidad de Sainte-Lune, Bretaña. Ella estaba extrañamente borracha y estacionó en el camino equivocado, aparentemente víctima de una colisión adelante."
Sin Identidad,https://pluto.tv/latam/on-demand/series/5e1e5f652139b4fc4b8a71f6,"""Sin Identidad"" cuenta la historia de María, una joven y atractiva abogada madrileña de clase alta que con 27 años descubre que no es hija biológica de sus padres."
Gracepoint,https://pluto.tv/latam/on-demand/series/5e0fc8f6d78344b4ec61b0c9,"Cuando un niño es encontrado muerto en una playa, se inicia una importante investigación policial en un pequeño pueblo. El caso desencadena un frenesí mediático que lleva a la familia del niño a una mayor agitación y da un vuelco a la vida de todos."
Satisfaction,https://pluto.tv/latam/on-demand/series/5e06698ce20d3e49c519a579,"Las chicas regresan para volver a empezar, allí donde abundan las rivalidades, los secretos salen al descubierto y el futuro se cuestiona. Con la introducción de una nueva dama de compañía, el Club 232 continúa satisfaciendo a sus clientes."
Sin tetas no hay paraíso (ESP),https://pluto.tv/latam/on-demand/series/609e9d0641fc48001327cce7,"Cata y ""El Duque"", un romance lleno de intrigas y obstáculos. Ella, una joven estudiante de 17 años mientras que él es uno de los narcotraficantes más famosos."
The Royals,https://pluto.tv/latam/on-demand/series/66c4af7e2fca060013505769,"The Royals sigue las vidas de una familia real británica ficticia que vive un mundo de opulencia, lujuria, escándalo sexual y tradición regia: un mundo que también trae consigo un costo de responsabilidades, destino e intensa opinión pública."
