Nombre,Link,Descripcion
Peligro en la montaña,https://pluto.tv/latam/on-demand/movies/5f7b879be4b56900138b7fba,"Joe Braven es un humilde leñador que vive en la frontera de los Estados Unidos. Cuando es asaltado por un grupo de traficantes de drogas en la recluida cabaña donde vive, hará todo lo que puede para proteger a su familia."
Zona de miedo,https://pluto.tv/latam/on-demand/movies/604b91f9b2b870001a05f1cb,"En Irak, una unidad de élite de artificieros norteamericanos actúa en una caótica ciudad donde cualquier persona puede ser un enemigo y cualquier objeto, una bomba."
Aceleracion Maxima,https://pluto.tv/latam/on-demand/movies/6475fd3091275e001a0599ee,"Una madre tiene una noche para hacer algunas tareas en Los Ángeles que requieren un arma, si quiere ver a su hijo con vida. Está retenido por un jefe de la mafia."
En el Rastro del Asesino,https://pluto.tv/latam/on-demand/movies/641c6c621a5081001a49bf50,Un policía trabaja para averiguar si un adolescente violento asesinó a su familia.
Tres Ladrones y un Bebé,https://pluto.tv/latam/on-demand/movies/641c6c5f1a5081001a49be52,"Fong es un ladrón con mala suerte. Con unas habilidades excepcionales, Fong siempre pierde todas sus ganancias en sus robos de apuestas. Su gran oportunidad llega cuando un gángster les pide a él y a su compañero pulpo que secuestren a un importante bebé."
La Hora de la Verdad,https://pluto.tv/latam/on-demand/movies/641c6c541a5081001a49ba5c,"El plan de los tres ladrones lo tiene todo para salir adelante -secuestrar al nieto de un millonario y ganar dinero fácil- pero no contaban con el carisma del bebé, lo que enternece el corazón del trío y dificulta la tarea."
Balas en Furia,https://pluto.tv/latam/on-demand/movies/641084fa8a5b2f001398b79b,"En la China de la década de 1920, un bandido llega a una remota ciudad de provincia haciéndose pasar por su nuevo alcalde, donde se enfrenta a un tiránico noble local."
Una familia peligrosa,https://pluto.tv/latam/on-demand/movies/6352bdcacba1290014dc1751,Un jefe de la mafia y su familia son trasladados a un pueblo tranquilo en Francia bajo el programa de protección de testigos después de delatar a la mafia.
Inseparable,https://pluto.tv/latam/on-demand/movies/62cc680618de52001378c4e6,"Chuck se inmiscuye en la vida de su vecino Li, un ingeneniero con problemas laborales y personales."
Fire with Fire,https://pluto.tv/latam/on-demand/movies/5dfd2e82be7e53bc0c65d59d,"Un bombero fuera de servicio es testigo de un asesinato a manos de una banda de mafiosos. Entra en el programa de protección de testigos hasta que testifique, pero no consigue ocultarse por mucho tiempo de la banda, por lo que decide actuar por su cuenta."
What Just Happened,https://pluto.tv/latam/on-demand/movies/62b336542fbef40013892986,"Una semana en la vida de Ben, un poderoso productor de Hollywood, mientras hace malabarismos con las negociaciones con un director de estudio para que su última película pueda estrenarse en Cannes en dos semanas."
Justo a tiempo,https://pluto.tv/latam/on-demand/movies/5e5d43ed4698db001ab20e82,"Gene llega a su casa después de asistir al funeral de su exesposa. Al poco tiempo, secuestran a su hija. Recibe una pistola y la tarea de matar a una persona en una hora y quince minutos. De lo contrario, su hija será asesinada."
Mapa a las estrellas,https://pluto.tv/latam/on-demand/movies/6310d43755ecdb0013ce4a55,"Un recorrido por el corazón de una familia de Hollywood que persigue a la celebridad, a los demás y a los implacables fantasmas de su pasado."
El árbol de la vida,https://pluto.tv/latam/on-demand/movies/6310fba36e998c00133133e8,"La historia de una familia en Waco, Texas en 1956. El hijo mayor es testigo de la pérdida de la inocencia y lucha con las enseñanzas contradictorias de sus padres."
Bus 657: El Escape del Siglo,https://pluto.tv/latam/on-demand/movies/62cc65397abcdc0013991d69,Un padre no tiene los medios para pagar el tratamiento de su hija. Como último recurso se asocia con un codicioso compañero de trabajo para robar un casino. Cuando las cosas van mal se ven obligados a secuestrar un autobús de la ciudad
Cloud Atlas,https://pluto.tv/latam/on-demand/movies/62cc47bd75b9dc0013c81343,"Una exploración de cómo las acciones de las vidas individuales se impactan entre sí en el pasado, el presente y el futuro, un alma pasa de ser un asesino a convertirse en un héroe, un acto de bondad se extiende para inspirar una revolución"
Agora,https://pluto.tv/latam/on-demand/movies/62cc479e75b9dc0013c81144,"Drama histórico sobre un esclavo que se vuelve hacia la creciente ola del cristianismo con la esperanza de buscar la libertad mientras se enamora de su amante, la profesora de filosofía y matemáticas Hipatia de Alejandría."
Las Zafiro,https://pluto.tv/latam/on-demand/movies/62cc2b8d9f6f4700149305c1,"Las Zafiro, cuatro chicas aborígenes australianas que apdrendieron sobre el amor, la amistad y la guerra, cuando Gail, Julie, Cynthia y Kay formaron un grupo musical de entretenimiento para las tropas de Estados Unidos en Vietnam en 1968"
La Batalla de los Malditos,https://pluto.tv/latam/on-demand/movies/62cc230f997d5700138b4e82,"Después de un brote viral mortal, el soldado militar privado Max Gatling lidera a un puñado de sobrevivientes y una banda heterogénea de robots contra un ejército de infectados."
El Experimento,https://pluto.tv/latam/on-demand/movies/5f7b87bfe4b56900138b8256,Remake de la película alemana de 2001 Das experiment dirigida por Oliver Hirschbiegel. Cuenta la historia de 20 hombres que llegan a una cárcel ficticia buscando la forma de ganar dinero rápido. Deberán participar en un experimento sociológico.
Match Point,https://pluto.tv/latam/on-demand/movies/6310d86b04308c00135df072,un ex tenista profesional se enamora de una actriz que casualmente está saliendo con su amigo y futuro cuñado.
El expreso del miedo,https://pluto.tv/latam/on-demand/movies/5e6a42ace2fa10001becd16f,"Un experimento para solucionar el calentamiento global acabó matando a la mayoría de la vida existente en el planeta, los únicos sobrevivientes fueron los pasajeros del Snowpiercer."
The English Teacher,https://pluto.tv/latam/on-demand/movies/5f7357c776c54900134c3633,"Linda, una profesora de inglés cuya reprimida vida personal convive con un marcado contraste con la pasión que lleva al salón de clases. Su vida cambia cuando el alumno estrella regresa a su pueblo tras fracasar como dramaturgo."
El Gran Impostor,https://pluto.tv/latam/on-demand/movies/6141f427bce9e900135a5b29,"Ray era un niño prodigio de la pintura. Al igual que su padre, se convirtió en ladrón, y ahora para conservar su libertad debe hacer un último trabajo para las personas que lo ayudaron a salir."
Nunca me dejes Sola,https://pluto.tv/latam/on-demand/movies/6141f44dbce9e900135a5e4a,"Kate es diagnosticada con Esclerosis Múltiple y Bec asume un trabajo ayudando a Kate. En ese momento,el matrimonio de ella con Evan llega al límite, y ambas forman un vínculo poco convencional, a veces conflictivo y ferozmente honesto."
El defensor,https://pluto.tv/latam/on-demand/movies/5e67ea225cee68001a91ac3e,Un abogado de defensa tiene una crisis de conciencia cuando se representa a un cliente adinerado que tiene un plan infalible para vencer al sistema.
Por orgullo,https://pluto.tv/latam/on-demand/movies/5fc918182fd74a0014cd910e,"La verdadera e inspiradora historia de Jim Ellis, un carismático maestro de escuela que cambió vidas para siempre cuando fundó un equipo de natación afroamericano en uno de los vecindarios más duros de Filadelfia."
Consigue un Trabajo,https://pluto.tv/latam/on-demand/movies/5fc918112fd74a0014cd906d,"Miles Teller, Anna Kendrick y Bryan Cranston protagonizan esta comedia fresca y perversamente divertida sobre conseguir un trabajo en una economía difícil."
24 horas para vivir,https://pluto.tv/latam/on-demand/movies/5f7b8695e4b56900138b70c2,"Un asesino profesional muere durante uno de sus trabajos, pero es devuelto a la vida por un día para cumplir una importante misión."
Rescate Sangriento,https://pluto.tv/latam/on-demand/movies/60c8abc436537d001332099c,"Un ganster ruso retirado, actualmente escritor de novelas, es tentado a volver a la vida criminal cuando descubre que su hija va a casarse con el hijo de su enemigo."
Misión Secreta,https://pluto.tv/latam/on-demand/movies/5e6ff3694698db001ab3dddf,Un senador estadounidense es asesinado en Washington por un espía ruso. Un agente de la CIA retirado (Richard Gere) se ve obligado a colaborar con un joven agente del FBI (Topher Grace) para atrapar al criminal.
El transportador 3,https://pluto.tv/latam/on-demand/movies/5e6a42b4e2fa10001becd22d,Frank Martin es un indiscutible especialista en entregas de alto riesgo. En esta ocasión está obligado bajo amenazas a trasladar dos voluminosas bolsas y una joven ucraniana desde Marsella hasta Odessa
Rambo 4,https://pluto.tv/latam/on-demand/movies/5e552dc35c1e25001a24f31a,"El veterano de Vietnam John Rambo ha sobrevivido a muchas pruebas terribles en su vida y desde entonces se ha retirado a una isla simple y aislada en Tailandia, donde pasa su tiempo capturando serpientes para artistas locales."
Todo Corazón,https://pluto.tv/latam/on-demand/movies/62f5240f6df8ae001a028380,"Basada en el relato de Mariane Pearl sobre la terrible e inolvidable historia de su esposo, el periodista del Wall Street Journal Danny Pearl, su vida y su muerte."
En busca de venganza,https://pluto.tv/latam/on-demand/movies/5e6ff3654698db001ab3dd65,Un padre de familia (Arnold Schwarzenegger) buscará venganza contra el controlador del aeropuerto (Scoot McNairy) responsable del fallecimiento de su mujer e hija. Film basado en hechos reales.
Machine Gun Preacher,https://pluto.tv/latam/on-demand/movies/5dfd2e7ebe7e53bc0c65d521,Sam Childers es un ex motorista traficante de drogas que encontró a Dios y se convirtió en un cruzado salvando a cientos de niños sudaneses obligados a convertirse en soldados.
Out of the Furnace,https://pluto.tv/latam/on-demand/movies/5ea2ee9bc733d6001a1ae620,"Russell (Christian Bale), un trabajador del acero, toma un asunto familiar en sus propias manos cuando su hermano, Rodney (Casey Affleck) se involucra con uno de los sindicatos del crimen más rudos del noreste y luego desaparece."
Blitz,https://pluto.tv/latam/on-demand/movies/5dfd2e74be7e53bc0c65d42d,"Blitz es un asesino en serie de Londres que está matando agentes de la policía. El inspector jefe Roberts y el sargento Brant, un duro, inflexible y políticamente incorrecto detective de la policía, se encargarán de intentar detener al psicópata."
6 Balas,https://pluto.tv/latam/on-demand/movies/5f3fd887ad190c001a52e538,"Cuando secuestran a la hija de un profesional de artes marciales, sólo hay un hombre que puede ayudar a encontrarla: un ex-mercenario."
Un pedacito de cielo,https://pluto.tv/latam/on-demand/movies/5e7b5ed187df5d001bb8f333,"Marley (Kate Hudson) es una mujer joven que descubre que se está muriendo de cáncer, pero cuando de forma inesperada se enamora de su médico (Gael García Bernal), la amenaza de caer en el amor es más aterradora que la muerte."
Promesa de vida,https://pluto.tv/latam/on-demand/movies/5e6a42b6e2fa10001becd269,Un hombre australiano viaja a Turquía después de la Batalla de Gallipoli para intentar encontrar a sus hijos perdidos.
Agua Profunda,https://pluto.tv/latam/on-demand/movies/5f7b877fe4b56900138b7df9,Black Water es una película de acción que gira en torno a un agente (Jean-Claude Van Damme) que despierta atrapado en una prisión secreta de la CIA a bordo de un submarino.
El Ilusionista,https://pluto.tv/latam/on-demand/movies/604b91eab2b870001a05f05f,"En Viena de 1900, Eisenheim cautiva con sus espectáculos de magia e ilusionismo. Sus poderes sobrenaturales llegan a oídos del príncipe heredero Leopold.Sospechando un fraude,Leopold encarga al inspector de policía Uhl que vigile de cerca al mago."
El aprendiz,https://pluto.tv/latam/on-demand/movies/5e6a42a6e2fa10001becd0b7,"Un ex-agente de la CIA vuelve a la acción para proteger a un testigo muy valioso, pero pronto se da cuenta de que los tiempos han cambiado y ya no puede confiar en nadie, ni siquiera en aquellos a los que consideraba sus amigos."
Una Acción Civil,https://pluto.tv/latam/on-demand/movies/62f523dd6df8ae001a027bb8,"Jan es abogado de lesión personal que solo acepta casos grandes en los que puede llegar a un acuerdo fuera de la corte. Su último caso parece simple, pero se volverá una batalla épica, una por la que estará dispuesto a arriesgar su carrera."
Precious,https://pluto.tv/latam/on-demand/movies/6310dca88762280014a48a22,"una adolescente analfabeta, maltratada y con sobrepeso que está embarazada de su segundo hijo es invitada a inscribirse en una escuela alternativa con la esperanza de poder cambiar su vida en una mejor dirección."
Regresión,https://pluto.tv/latam/on-demand/movies/6310df827a42340013e95fe1,Un detective y un psicoanalista descubren pruebas de un culto satánico mientras investigan el aterrador pasado de una joven.
Asesino a sueldo,https://pluto.tv/latam/on-demand/movies/6310cffb37c5800013b697b2,Un caso de identidad equivocada lleva a Slevin al centro de una guerra tramada por dos de los jefes criminales más rivales de la ciudad.
"Yo , Frankenstein",https://pluto.tv/latam/on-demand/movies/6317a122bb171a00130f81c7,La criatura de Frankenstein se encuentra atrapada en una guerra total de siglos de antigüedad entre dos clanes inmortales.
The cobbler,https://pluto.tv/latam/on-demand/movies/5e0a2c00be8fa6764e877186,Cuenta la historia de un zapatero que tiene la peculiar habilidad de asumir la vida de sus clientes a través de los zapatos que repara.
Hombre Peligroso,https://pluto.tv/latam/on-demand/movies/60c8abbe36537d001332092c,"Tras cumplir seis años en prisión por un crimen que no había cometido, Shane Daniels es absuelto con una disculpa del Estado de Arizona. Shane debe luchar a su manera en un país corrupto y asegurarse de que la chica salga con vida."
Bring it on,https://pluto.tv/latam/on-demand/movies/5e0a2bfcbe8fa6764e87710e,"Dos equipos de animadoras se enfrentarán para conseguir el gran premio nacional de ""cheerleaders""."
Sólo amigos,https://pluto.tv/latam/on-demand/movies/5e0a2bf9be8fa6764e8770d9,"Mientras visita su ciudad natal en Navidad, un hombre se encuentra cara a cara con su antiguo amor de la escuela secundaria con quien era el mejor amigo: una mujer cuyo rechazo lo convirtió en un mujeriego feroz."
La historia de un niño hambriento,https://pluto.tv/latam/on-demand/movies/60c8abeb36537d0013320cf2,"Viaje lleno de nostalgia a través de la gastronomía inglesa, ambientado en la década de los 60. Se basa en la novela autobiográfica del mismo nombre del cocinero Nigel Slater."
Vida de Motel,https://pluto.tv/latam/on-demand/movies/60c8abf036537d0013320d66,Una pareja de hermanos de clase trabajadora se alojan en un motel en la ciudad de Reno al verse implicados en un fatal accidente de coche del que salieron huyendo.
La conversación,https://pluto.tv/latam/on-demand/movies/5e5d796ee3406e0013955e87,"Narra la historia de un espía profesional que trabaja tanto para clientes privados como públicos. Al organizar una escucha para un cliente, caerá en la tentación de escuchar qué dicen las 2 personas Pronto la situación le atormentará y querrá saber más."
SN. Vincent,https://pluto.tv/latam/on-demand/movies/5f8763ce07ce430013084b15,"Una extraña unión se forma entre el hijo de 12 años de una madre soltera y su vecino, un misántropo alcohólico."
Serena,https://pluto.tv/latam/on-demand/movies/5e0a2bf7be8fa6764e877093,"En la Carolina del Norte de los Años 20, el futuro del imperio maderero de George Pemberton se complica cuando se casa con Serena."
Besos que matan,https://pluto.tv/latam/on-demand/movies/5e5d7979e3406e0013955ffd,"Ocho mujeres secuestradas. Todas en peligro de que sus vidas se corten cruelmente si el detective de la policía Alex Cross y la testigo clave Kate McTiernan no pueden localizar al esquivo ""coleccionista"" que se hace llama ""Casanova"""
Steel City,https://pluto.tv/latam/on-demand/movies/6024362f8d35a80013ee1a06,"Durante un invierno del Medio Oeste, dos hermanos de clase trabajadora deben lidiar con su padre recientemente encarcelado."
Sin Rumbo,https://pluto.tv/latam/on-demand/movies/604b91e5b2b870001a05efe7,"Después de que un padre afligido encuentra una caja de cintas de demostración hechas por su hijo muerto, él forma una banda con la esperanza de encontrar la paz."
Point Break,https://pluto.tv/latam/on-demand/movies/5e0a2bf1be8fa6764e876fe0,Un agente del F.B.I. se infiltra para atrapar a una banda de surfistas que pueden ser ladrones de bancos.
Pequeños Accidentes,https://pluto.tv/latam/on-demand/movies/60bf725bd782df0013ef27a3,"En una pequeña comunidad conmocionada por un accidente mortal en su mina, la desaparición de un adolescente pone en relación a un minero superviviente, la mujer de un directivo de la mina y a un chaval taciturno y lleno de secretos."
El último concierto,https://pluto.tv/latam/on-demand/movies/5f80c62d07ce43001307d099,La película se centra en los miembros de un célebre cuarteto de cuerda que ve peligrar su continuidad cuando a uno de ellos le diagnostican una enfermedad que le imposibilitará volver a tocar para siempre.
Last Night,https://pluto.tv/latam/on-demand/movies/5ea2ee97c733d6001a1ae5e0,"Relato de amor, traición y celos. Un matrimonio de Nueva York tiene que separarse, durante una noche, por causa de un viaje de negocios que el marido (Worthington) debe realizar con una atractiva compañera de trabajo (Eva Mendes)."
Saldo de cuentas,https://pluto.tv/latam/on-demand/movies/604f8741e7c979001a8a84f2,Un policía que trabaja como asesino a sueldo acepta matar a la madre de un narcotraficante desesperado a cambio de la hermana virgen del joven y de una parte del seguro de vida que el narcotraficante cobrará cuando muera su madre.
Mata a la caballería,https://pluto.tv/latam/on-demand/movies/60ba3cda494953001391261a,"En una misión para eliminar al general Joseph Wheeler de C.S., Kilpatrick diseña un plan para apoderarse de la pequeña ciudad de Barnwell."
Kabluey,https://pluto.tv/latam/on-demand/movies/5fd3cd09d87c3b001aef120f,Un perdedor se muda con la esposa de su hermano para cuidar de sus dos hijos malvados. Ella le consigue un trabajo vistiendo un disfraz de Kabluey.
Underworld,https://pluto.tv/latam/on-demand/movies/5dfd2e87be7e53bc0c65d627,"Selene, una guerrera vampiro, está inmersa en un conflicto entre vampiros y hombres lobo, mientras se enamora de Michael, un humano que es buscado por hombres lobo por razones desconocidas."
Los Caballeros no tienen memoria,https://pluto.tv/latam/on-demand/movies/6141f41fbce9e900135a5a77,"Richard es un brillante profesor de Cambridge con una pasión desenfrenada por la poesía romántica y las mujeres hermosas. Sin embargo, la paternidad le cambiará la vida."
EL Rascacielos,https://pluto.tv/latam/on-demand/movies/627d188355812e0013ee406f,"Una guerra de clases se desata en una propiedad residencial de lujo y se desarrolla una verdadera batalla en los ascensores, pasillos y apartamentos de la moderna torre."
El Dador de Recuerdos,https://pluto.tv/latam/on-demand/movies/5f7b86f0e4b56900138b75c4,Cuenta la historia de un mundo perfecto en el que todos sus habitantes son felices de forma artificial. Los que se encuentran en el poder han eliminado cualquier motivo que pudiera suponer un enfrentamiento o discusión.
Enigma,https://pluto.tv/latam/on-demand/movies/5ea3163c1ea4a6001a5d0471,"Segunda Guerra Mundial. Inglaterra, 1943. Los descifradores de códigos de Betchley Park, sede de los servicios secretos británicos, se enfrentan a su peor pesadilla."
Cymbeline,https://pluto.tv/latam/on-demand/movies/6141f448bce9e900135a5dd6,"Esta película es una adaptación moderna de Cymbeline de Shakespeare, donde narra la historia de Cymbeline. Perseguido por policías corruptos, sufre los intentos de su esposa de ususcar el poder y tiene que lidiar con los problemas de su hija."
Actividades criminales,https://pluto.tv/latam/on-demand/movies/5e6ff36c4698db001ab3de19,Cuatro amigos se reúnen en el funeral de un ex compañero. Allí uno de ellos comenta sobre una inversión que los podría convertir en millonarios. Por desgracia la inversión sale mal y uno de los amigos confiesa que pidió prestado plata a un mafioso.
Un acto de esperanza,https://pluto.tv/latam/on-demand/movies/5f7b87a1e4b56900138b802a,"Fiona Maye (Emma Thompson) es una eminente jueza de la Corte Suprema británica especializada en derechos familiares. Mientras su matrimonio con Jack (Stanley Tucci) se hunde, tiene que tomar una importante decisión que cambiará su vida."
Butter,https://pluto.tv/latam/on-demand/movies/5f7b879ee4b56900138b7ff4,"Los ciudadanos de un pequeño pueblo del Medio Oeste, Iowa (EEUU), celebran cada año una competición muy especial en la que luchan por modelar la mejor escultura de mantequilla. Cada participante tiene sus propias motivaciones e historia personal."
Blue Jasmine,https://pluto.tv/latam/on-demand/movies/5eaaeb05718be7001af50b1c,"Jasmine, una mujer rica y glamourosa de la alta sociedad neoyorquina, se encuentra de repente sin dinero y sin casa."
Ojos Grandes,https://pluto.tv/latam/on-demand/movies/60e4702f83c54e001398aa10,La artista americana Margaret Keane es conocida por sus extravagantes y originales pinturas. Walter Keane es su pareja quien también es artista. Sus obras se convirtieron en uno de los mayores éxitos durante los años 50 y 60.
Albert Nobbs,https://pluto.tv/latam/on-demand/movies/5f3fd881ad190c001a52e47e,Albert Nobbs escapa a trabajar como mayordomo en el hotel más lujoso de Dublín donde conoce a un joven que la hace dudar el seguir viviendo su mentira.
Noches de Reventón,https://pluto.tv/latam/on-demand/movies/5e9f001157d2e0001a099a81,"Parecería que Steve y Doug nunca serán tan geniales como para entrar a la disco Roxbury, hasta que tienen un pequeño accidente con su modelo a seguir, que siempre va al club, Richard Grieco. Para evitar una denuncia, Grieco se hace amigo de ellos."
Al Maestro con Cariño Mr. Pip,https://pluto.tv/latam/on-demand/movies/60b53c3be36d58001a68e6dc,"Una chica se distrae de una guerra que se desarrolla leyendo en la escuela el libro ""Grandes Esperanzas"" de Charles Dickens."
Blitz,https://pluto.tv/latam/on-demand/movies/5dfd2e74be7e53bc0c65d42d,"Blitz es un asesino en serie de Londres que está matando agentes de la policía. El inspector jefe Roberts y el sargento Brant, un duro, inflexible y políticamente incorrecto detective de la policía, se encargarán de intentar detener al psicópata."
The Expendables,https://pluto.tv/latam/on-demand/movies/650dd1f64827fc001a7df74a,"En 'The Expendables' el trío de héroes de acción compuesto por Stallone, Statham y Li formarán parte de un comando de mercenarios que se infiltrarán en un país de Sudamérica y lucharán contra un un cruel dictador para liberar a la población."
Derailed,https://pluto.tv/latam/on-demand/movies/5e555cbc5c7c10001a5f69b3,"¡En un tren fuera de control que retiene rehenes y el agente de armas biológicas de alta tecnología, Kristoff (Van Damme) se convierte en un ejército de un solo hombre para descarrilar a los terroristas y salvar las vidas de todos a bordo!"
Rambo 4,https://pluto.tv/latam/on-demand/movies/5e552dc35c1e25001a24f31a,"El veterano de Vietnam John Rambo ha sobrevivido a muchas pruebas terribles en su vida y desde entonces se ha retirado a una isla simple y aislada en Tailandia, donde pasa su tiempo capturando serpientes para artistas locales."
Hermandad De Justicia,https://pluto.tv/latam/on-demand/movies/650b0d29f6f05d0013af33b2,"Keanu Reeves, Kiefer Sutherland y Billy Zane son los mejores estudiantes de secundaria y crean un grupo de vigilantes en su vecindario. Pero, a medida que su poder aumenta, se vuelven más abusivos y peligrosos."
